Date,close
2005-01-03,0.514765739440918
2005-01-04,0.514765739440918
2005-01-05,0.4923841953277588
2005-01-06,0.5035751461982727
2005-01-07,0.5035751461982727
2005-01-10,0.4923841953277588
2005-01-11,0.47000348567962646
2005-01-12,0.4588128328323364
2005-01-13,0.47000348567962646
2005-01-14,0.47000348567962646
2005-01-17,0.4588128328323364
2005-01-18,0.4588128328323364
2005-01-19,0.44762203097343445
2005-01-20,0.44762203097343445
2005-01-24,0.44762203097343445
2005-01-25,0.4588128328323364
2005-01-27,0.4588128328323364
2005-01-28,0.4588128328323364
2005-01-31,0.4588128328323364
2005-02-01,0.4811934530735016
2005-02-02,0.4923841953277588
2005-02-03,0.5035751461982727
2005-02-04,0.4923841953277588
2005-02-07,0.5035751461982727
2005-02-08,0.4923841953277588
2005-02-09,0.5035751461982727
2005-02-10,0.514765739440918
2005-02-11,0.514765739440918
2005-02-14,0.525955855846405
2005-02-15,0.514765739440918
2005-02-16,0.514765739440918
2005-02-17,0.514765739440918
2005-02-18,0.5035751461982727
2005-02-21,0.5035751461982727
2005-02-22,0.5035751461982727
2005-02-23,0.4923841953277588
2005-02-24,1.1414366960525513
2005-02-25,1.1246510744094849
2005-02-28,1.0910794734954834
2005-03-01,1.0575075149536133
2005-03-02,1.0742932558059692
2005-03-03,1.0910794734954834
2005-03-04,1.1582224369049072
2005-03-07,1.1414366960525513
2005-03-08,1.1246510744094849
2005-03-09,1.1246510744094849
2005-03-10,1.0910794734954834
2005-03-11,1.0910794734954834
2005-03-14,1.0742932558059692
2005-03-15,1.0407215356826782
2005-03-16,1.0575075149536133
2005-03-17,1.0407215356826782
2005-03-18,1.0407215356826782
2005-03-21,1.0239360332489014
2005-03-22,0.9903644919395447
2005-03-23,0.9735785722732544
2005-03-24,0.9735785722732544
2005-03-28,0.9567927718162537
2005-03-29,0.9567927718162537
2005-03-30,0.9903644919395447
2005-03-31,1.0071502923965454
2005-04-01,1.0239360332489014
2005-04-04,1.0407215356826782
2005-04-05,1.0575075149536133
2005-04-06,1.0575075149536133
2005-04-07,1.1078649759292603
2005-04-08,1.0910794734954834
2005-04-11,1.0910794734954834
2005-04-12,1.1414366960525513
2005-04-13,1.1078649759292603
2005-04-15,1.0407215356826782
2005-04-18,1.0407215356826782
2005-04-19,0.9903644919395447
2005-04-20,1.0071502923965454
2005-04-21,1.0071502923965454
2005-04-22,1.0071502923965454
2005-04-25,1.0071502923965454
2005-04-26,1.0071502923965454
2005-04-27,0.9903644919395447
2005-04-28,0.9735785722732544
2005-04-29,0.9903644919395447
2005-05-02,1.0239360332489014
2005-05-03,0.9903644919395447
2005-05-04,1.0071502923965454
2005-05-05,1.0239360332489014
2005-05-06,1.0239360332489014
2005-05-09,1.0575075149536133
2005-05-10,1.0910794734954834
2005-05-11,1.0910794734954834
2005-05-12,1.1078649759292603
2005-05-13,1.1246510744094849
2005-05-16,1.1078649759292603
2005-05-17,1.0910794734954834
2005-05-18,1.1246510744094849
2005-05-19,1.1246510744094849
2005-05-20,1.1078649759292603
2005-05-23,1.0910794734954834
2005-05-24,1.0910794734954834
2005-05-25,1.0910794734954834
2005-05-26,1.1246510744094849
2005-05-27,1.1078649759292603
2005-05-30,1.1078649759292603
2005-05-31,1.0910794734954834
2005-06-01,1.0910794734954834
2005-06-02,1.0910794734954834
2005-06-03,1.0910794734954834
2005-06-06,1.1078649759292603
2005-06-07,1.1078649759292603
2005-06-08,1.0910794734954834
2005-06-09,1.1078649759292603
2005-06-10,1.0910794734954834
2005-06-13,1.0910794734954834
2005-06-14,1.1078649759292603
2005-06-15,1.1246510744094849
2005-06-16,1.1246510744094849
2005-06-17,1.1246510744094849
2005-06-20,1.1414366960525513
2005-06-21,1.1414366960525513
2005-06-22,1.1582224369049072
2005-06-23,1.1582224369049072
2005-06-24,1.1917942762374878
2005-06-27,1.2085797786712646
2005-06-28,1.2085797786712646
2005-06-29,1.2085797786712646
2005-06-30,1.2085797786712646
2005-07-01,1.1917942762374878
2005-07-04,1.2421520948410034
2005-07-05,1.2421520948410034
2005-07-06,1.2589377164840698
2005-07-07,1.2421520948410034
2005-07-08,1.2757236957550049
2005-07-11,1.3428666591644287
2005-07-12,1.3428666591644287
2005-07-13,1.3260809183120728
2005-07-14,1.3260809183120728
2005-07-15,1.3260809183120728
2005-07-18,1.2925094366073608
2005-07-19,1.3428666591644287
2005-07-20,1.3428666591644287
2005-07-21,1.3428666591644287
2005-07-22,1.3260809183120728
2005-07-25,1.3596526384353638
2005-07-26,1.3596526384353638
2005-07-27,1.3428666591644287
2005-07-28,11.058805465698242
2005-07-29,1.3428666591644287
2005-08-01,1.3596526384353638
2005-08-02,1.3428666591644287
2005-08-03,1.3428666591644287
2005-08-04,1.3428666591644287
2005-08-05,1.3260809183120728
2005-08-08,1.3428666591644287
2005-08-09,1.3428666591644287
2005-08-10,1.3596526384353638
2005-08-11,1.3875176906585693
2005-08-12,1.4046472311019897
2005-08-16,1.4217778444290161
2005-08-17,1.4217778444290161
2005-08-18,1.4217778444290161
2005-08-19,1.4217778444290161
2005-08-22,1.4217778444290161
2005-08-23,1.4046472311019897
2005-08-24,1.3703876733779907
2005-08-25,1.3703876733779907
2005-08-26,1.3703876733779907
2005-08-29,1.4046472311019897
2005-08-30,1.4046472311019897
2005-08-31,1.4217778444290161
2005-09-01,1.4389073848724365
2005-09-02,1.473167061805725
2005-09-05,1.5245561599731445
2005-09-06,1.473167061805725
2005-09-08,1.5759464502334595
2005-09-09,1.5588159561157227
2005-09-12,1.5588159561157227
2005-09-13,1.5588159561157227
2005-09-14,1.5588159561157227
2005-09-15,1.5588159561157227
2005-09-16,1.6273359060287476
2005-09-19,1.610205888748169
